,Match,Team,Alliance,measurement,value,dloc,DefType
1430,84,2603,red,TeleOpD1Att,1,1.0,E_LowBar
1431,84,245,red,TeleOpD1Att,0,1.0,E_LowBar
1432,84,868,red,TeleOpD1Att,0,1.0,E_LowBar
1433,84,1985,blue,TeleOpD1Att,1,1.0,E_LowBar
1434,84,1249,blue,TeleOpD1Att,0,1.0,E_LowBar
1435,84,5413,blue,TeleOpD1Att,0,1.0,E_LowBar
1436,85,3484,red,TeleOpD1Att,3,1.0,E_LowBar
1437,85,48,red,TeleOpD1Att,0,1.0,E_LowBar
1438,85,6084,red,TeleOpD1Att,1,1.0,E_LowBar
1439,85,3814,blue,TeleOpD1Att,0,1.0,E_LowBar
1440,85,4085,blue,TeleOpD1Att,1,1.0,E_LowBar
1441,85,451,blue,TeleOpD1Att,0,1.0,E_LowBar
1442,86,120,blue,TeleOpD1Att,0,1.0,E_LowBar
1443,86,5811,blue,TeleOpD1Att,0,1.0,E_LowBar
1444,87,2051,red,TeleOpD1Att,0,1.0,E_LowBar
1445,87,2051,red,TeleOpD1Att,0,1.0,E_LowBar
1446,87,1708,red,TeleOpD1Att,0,1.0,E_LowBar
1447,87,1708,red,TeleOpD1Att,2,1.0,E_LowBar
1448,87,4145,red,TeleOpD1Att,0,1.0,E_LowBar
1449,87,4145,red,TeleOpD1Att,0,1.0,E_LowBar
1450,87,5492,blue,TeleOpD1Att,0,1.0,E_LowBar
1451,87,5492,blue,TeleOpD1Att,2,1.0,E_LowBar
1452,87,4284,blue,TeleOpD1Att,0,1.0,E_LowBar
1453,87,4284,blue,TeleOpD1Att,0,1.0,E_LowBar
1454,87,5667,blue,TeleOpD1Att,0,1.0,E_LowBar
1455,87,5667,blue,TeleOpD1Att,0,1.0,E_LowBar
1456,88,2016,red,TeleOpD1Att,0,1.0,E_LowBar
1457,88,1014,red,TeleOpD1Att,1,1.0,E_LowBar
1458,88,4256,red,TeleOpD1Att,1,1.0,E_LowBar
1459,88,3000,blue,TeleOpD1Att,0,1.0,E_LowBar
1460,88,4028,blue,TeleOpD1Att,0,1.0,E_LowBar
1461,88,6185,blue,TeleOpD1Att,0,1.0,E_LowBar
1462,77,5667,red,TeleOpD2Cross,1,2.0, 'C_SallyPort'
1463,77,451,red,TeleOpD2Cross,1,2.0, 'C_SallyPort'
1464,77,3484,red,TeleOpD2Cross,0,2.0, 'C_SallyPort'
1465,77,4256,blue,TeleOpD2Cross,0,2.0, 'D_RockWall'
1466,77,1939,blue,TeleOpD2Cross,0,2.0, 'D_RockWall'
1467,77,2040,blue,TeleOpD2Cross,0,2.0, 'D_RockWall'
1468,78,3324,red,TeleOpD2Cross,0,2.0, 'C_SallyPort'
1469,78,48,red,TeleOpD2Cross,0,2.0, 'C_SallyPort'
1470,78,279,red,TeleOpD2Cross,2,2.0, 'C_SallyPort'
1471,78,4521,blue,TeleOpD2Cross,0,2.0, 'C_Drawbridge'
1472,78,3201,blue,TeleOpD2Cross,0,2.0, 'C_Drawbridge'
1473,78,2016,blue,TeleOpD2Cross,0,2.0, 'C_Drawbridge'
1474,79,4920,red,TeleOpD2Cross,0,2.0, 'C_SallyPort'
1475,79,5811,red,TeleOpD2Cross,0,2.0, 'C_SallyPort'
1476,79,3814,red,TeleOpD2Cross,0,2.0, 'C_SallyPort'
1477,79,5809,blue,TeleOpD2Cross,0,2.0, 'C_SallyPort'
1478,79,1038,blue,TeleOpD2Cross,1,2.0, 'C_SallyPort'
1479,79,4284,blue,TeleOpD2Cross,0,2.0, 'C_SallyPort'
1480,80,2051,red,TeleOpD2Cross,0,2.0, 'C_Drawbridge'
1481,80,2051,red,TeleOpD2Cross,0,2.0, 'C_Drawbridge'
1482,80,3138,red,TeleOpD2Cross,0,2.0, 'C_Drawbridge'
1483,80,3138,red,TeleOpD2Cross,1,2.0, 'C_Drawbridge'
1484,80,1014,red,TeleOpD2Cross,0,2.0, 'C_Drawbridge'
1485,80,1014,red,TeleOpD2Cross,0,2.0, 'C_Drawbridge'
1486,80,4085,blue,TeleOpD2Cross,0,2.0, 'B_Moat'
1487,80,4085,blue,TeleOpD2Cross,0,2.0, 'B_Moat'
1488,80,120,blue,TeleOpD2Cross,0,2.0, 'B_Moat'
1489,80,120,blue,TeleOpD2Cross,0,2.0, 'B_Moat'
1490,80,3266,blue,TeleOpD2Cross,0,2.0, 'B_Moat'
1491,80,3266,blue,TeleOpD2Cross,0,2.0, 'B_Moat'
1492,81,6181,red,TeleOpD2Cross,0,2.0, 'B_Moat'
1493,81,6181,red,TeleOpD2Cross,1,2.0, 'B_Moat'
1494,81,1708,red,TeleOpD2Cross,0,2.0, 'B_Moat'
1495,81,1708,red,TeleOpD2Cross,0,2.0, 'B_Moat'
1496,81,3504,red,TeleOpD2Cross,0,2.0, 'B_Moat'
1497,81,3504,red,TeleOpD2Cross,0,2.0, 'B_Moat'
1498,81,337,blue,TeleOpD2Cross,0,2.0, 'B_Ramparts'
1499,81,337,blue,TeleOpD2Cross,2,2.0, 'B_Ramparts'
1500,81,5749,blue,TeleOpD2Cross,0,2.0, 'B_Ramparts'
1501,81,5749,blue,TeleOpD2Cross,0,2.0, 'B_Ramparts'
1502,81,3000,blue,TeleOpD2Cross,0,2.0, 'B_Ramparts'
1503,81,3000,blue,TeleOpD2Cross,0,2.0, 'B_Ramparts'
1504,82,4115,red,TeleOpD2Cross,0,2.0, 'A_ChevalDeFrise'
1505,82,144,red,TeleOpD2Cross,0,2.0, 'A_ChevalDeFrise'
1506,82,5492,red,TeleOpD2Cross,0,2.0, 'A_ChevalDeFrise'
1507,82,3492,blue,TeleOpD2Cross,0,2.0, 'D_RockWall'
1508,82,6185,blue,TeleOpD2Cross,0,2.0, 'D_RockWall'
1509,82,3260,blue,TeleOpD2Cross,0,2.0, 'D_RockWall'
1510,83,554,red,TeleOpD2Cross,0,2.0, 'C_SallyPort'
1511,83,1308,red,TeleOpD2Cross,2,2.0, 'C_SallyPort'
1512,83,128,red,TeleOpD2Cross,2,2.0, 'C_SallyPort'
1513,83,3777,blue,TeleOpD2Cross,0,2.0, 'C_SallyPort'
1514,83,3821,blue,TeleOpD2Cross,0,2.0, 'C_SallyPort'
1515,83,4213,blue,TeleOpD2Cross,0,2.0, 'C_SallyPort'
1516,84,2603,red,TeleOpD2Cross,0,2.0, 'D_RockWall'
1517,84,245,red,TeleOpD2Cross,2,2.0, 'D_RockWall'
1518,84,868,red,TeleOpD2Cross,1,2.0, 'D_RockWall'
1519,84,1985,blue,TeleOpD2Cross,2,2.0, 'A_ChevalDeFrise'
1520,84,1249,blue,TeleOpD2Cross,0,2.0, 'A_ChevalDeFrise'
1521,84,5413,blue,TeleOpD2Cross,0,2.0, 'A_ChevalDeFrise'
1522,85,3484,red,TeleOpD2Cross,1,2.0, 'A_Portcullis'
1523,85,48,red,TeleOpD2Cross,0,2.0, 'A_Portcullis'
1524,85,6084,red,TeleOpD2Cross,0,2.0, 'A_Portcullis'
1525,85,3814,blue,TeleOpD2Cross,2,2.0, 'D_RoughTerrain'
1526,85,4085,blue,TeleOpD2Cross,0,2.0, 'D_RoughTerrain'
1527,85,451,blue,TeleOpD2Cross,0,2.0, 'D_RoughTerrain'
1528,86,120,blue,TeleOpD2Cross,0,2.0, 'C_SallyPort'
1529,86,5811,blue,TeleOpD2Cross,0,2.0, 'C_SallyPort'
1530,87,2051,red,TeleOpD2Cross,0,2.0, 'A_ChevalDeFrise'
1531,87,2051,red,TeleOpD2Cross,1,2.0, 'A_ChevalDeFrise'
1532,87,1708,red,TeleOpD2Cross,0,2.0, 'A_ChevalDeFrise'
1533,87,1708,red,TeleOpD2Cross,0,2.0, 'A_ChevalDeFrise'
1534,87,4145,red,TeleOpD2Cross,0,2.0, 'A_ChevalDeFrise'
1535,87,4145,red,TeleOpD2Cross,2,2.0, 'A_ChevalDeFrise'
1536,87,5492,blue,TeleOpD2Cross,0,2.0, 'D_RockWall'
1537,87,5492,blue,TeleOpD2Cross,0,2.0, 'D_RockWall'
1538,87,4284,blue,TeleOpD2Cross,0,2.0, 'D_RockWall'
1539,87,4284,blue,TeleOpD2Cross,0,2.0, 'D_RockWall'
1540,87,5667,blue,TeleOpD2Cross,0,2.0, 'D_RockWall'
1541,87,5667,blue,TeleOpD2Cross,0,2.0, 'D_RockWall'
1542,88,2016,red,TeleOpD2Cross,0,2.0, 'D_RockWall'
1543,88,1014,red,TeleOpD2Cross,0,2.0, 'D_RockWall'
1544,88,4256,red,TeleOpD2Cross,0,2.0, 'D_RockWall'
1545,88,3000,blue,TeleOpD2Cross,0,2.0, 'C_SallyPort'
1546,88,4028,blue,TeleOpD2Cross,1,2.0, 'C_SallyPort'
1547,88,6185,blue,TeleOpD2Cross,0,2.0, 'C_SallyPort'
1548,77,5667,red,TeleOpD2Att,1,2.0, 'C_SallyPort'
1549,77,451,red,TeleOpD2Att,1,2.0, 'C_SallyPort'
1550,77,3484,red,TeleOpD2Att,0,2.0, 'C_SallyPort'
1551,77,4256,blue,TeleOpD2Att,0,2.0, 'D_RockWall'
1552,77,1939,blue,TeleOpD2Att,0,2.0, 'D_RockWall'
1553,77,2040,blue,TeleOpD2Att,0,2.0, 'D_RockWall'
1554,78,3324,red,TeleOpD2Att,0,2.0, 'C_SallyPort'
1555,78,48,red,TeleOpD2Att,0,2.0, 'C_SallyPort'
1556,78,279,red,TeleOpD2Att,2,2.0, 'C_SallyPort'
1557,78,4521,blue,TeleOpD2Att,0,2.0, 'C_Drawbridge'
1558,78,3201,blue,TeleOpD2Att,0,2.0, 'C_Drawbridge'
1559,78,2016,blue,TeleOpD2Att,0,2.0, 'C_Drawbridge'
1560,79,4920,red,TeleOpD2Att,0,2.0, 'C_SallyPort'
1561,79,5811,red,TeleOpD2Att,0,2.0, 'C_SallyPort'
1562,79,3814,red,TeleOpD2Att,0,2.0, 'C_SallyPort'
1563,79,5809,blue,TeleOpD2Att,0,2.0, 'C_SallyPort'
1564,79,1038,blue,TeleOpD2Att,1,2.0, 'C_SallyPort'
1565,79,4284,blue,TeleOpD2Att,0,2.0, 'C_SallyPort'
1566,80,2051,red,TeleOpD2Att,0,2.0, 'C_Drawbridge'
1567,80,2051,red,TeleOpD2Att,0,2.0, 'C_Drawbridge'
1568,80,3138,red,TeleOpD2Att,0,2.0, 'C_Drawbridge'
1569,80,3138,red,TeleOpD2Att,1,2.0, 'C_Drawbridge'
1570,80,1014,red,TeleOpD2Att,0,2.0, 'C_Drawbridge'
1571,80,1014,red,TeleOpD2Att,0,2.0, 'C_Drawbridge'
1572,80,4085,blue,TeleOpD2Att,0,2.0, 'B_Moat'
1573,80,4085,blue,TeleOpD2Att,0,2.0, 'B_Moat'
1574,80,120,blue,TeleOpD2Att,0,2.0, 'B_Moat'
1575,80,120,blue,TeleOpD2Att,0,2.0, 'B_Moat'
1576,80,3266,blue,TeleOpD2Att,0,2.0, 'B_Moat'
1577,80,3266,blue,TeleOpD2Att,0,2.0, 'B_Moat'
1578,81,6181,red,TeleOpD2Att,0,2.0, 'B_Moat'
1579,81,6181,red,TeleOpD2Att,1,2.0, 'B_Moat'
1580,81,1708,red,TeleOpD2Att,0,2.0, 'B_Moat'
1581,81,1708,red,TeleOpD2Att,0,2.0, 'B_Moat'
1582,81,3504,red,TeleOpD2Att,0,2.0, 'B_Moat'
1583,81,3504,red,TeleOpD2Att,0,2.0, 'B_Moat'
1584,81,337,blue,TeleOpD2Att,0,2.0, 'B_Ramparts'
1585,81,337,blue,TeleOpD2Att,2,2.0, 'B_Ramparts'
